partner;marriage;farewell;divorce;separation;education;work
;18;;;18;;17
;23;;;23;17;17
;29;;;20;24;20
;;26;;18;18;26
;23;;;24;23;23
;28;;;17;22;23
;29;;;18;17;18
24;31;32;32;17;30;18
;23;;;23;19;19
;22;;;23;20;20
;26;;;38;21;21
;22;;;20;18;18
;20;;;24;18;19
;;;;24;;18
;17;;;17;;18
;;;;22;25;20
;;;;15;;15
22;23;;;18;22;18
;21;;;21;18;20
;21;;;24;20;20
;20;;54;35;16;18
;21;;;21;21;22
;21;;;21;;17
;20;;;17;20;20
;21;;;21;;22
;21;;;18;17;18
;26;;;54;19;19
;21;;;17;22;23
;19;;;19;;18
;17;;;3;;15
;29;;;18;19;24
;26;;;26;20;17
;;;;19;18;18
28;29;;;29;20;18
;19;;;15;17;15
;31;;;18;32;16
;23;;28;18;23;27
;25;;;26;27;18
;21;;;21;;18
;21;;;18;24;21
;24;;;17;20;20
;25;;;26;18;18
;19;;;17;18;18
;23;;;39;20;20
;23;;;25;21;23
;19;;36;13;18;24
;19;;;17;19;18
;21;;;21;17;19
;20;;;17;19;19
;24;;;16;17;18
;18;;;18;45;18
;22;;;17;22;17
;19;;;15;18;18
;19;;;19;25;18
;27;;;27;28;19
27;28;;;53;18;18
;23;;;22;21;21
;19;;27;19;20;16
;23;;;25;18;18
;21;;;21;23;20
;23;;;23;25;18
;25;;;25;23;23
;19;;27;16;;16
;20;;;17;25;19
;20;;;20;19;23
;23;;;17;29;17
;22;;;30;18;20
;;;;18;18;20
;25;;;25;21;21
;18;;;18;18;18
;21;;;21;19;19
;23;;;20;23;16
24;25;;;18;37;37
;;;;17;19;19
;;;;15;17;25
;24;;;24;40;20
30;31;;;20;29;20
;22;;;17;22;22
;21;;;17;20;20
;20;;;17;21;23
;23;;;24;24;24
;18;;;18;;19
;26;;;26;;22
;20;;;20;24;29
;20;;;17;22;26
;17;;;34;23;23
;21;;;24;18;21
;19;;;19;;16
;19;;20;19;;19
21;21;;;21;18;20
31;31;32;33;31;20;20
;19;;35;18;19;19
;;;;19;;17
;;22;;21;;18
;20;;;17;18;17
18;18;;;17;18;18
23;24;34;;25;21;15
;20;;23;20;;16
;;;;20;;20
24;51;26;;43;19;17
;21;;43;27;25;18
;24;;;22;37;25
;18;;26;20;18;18
;24;;;24;20;22
;;;;29;21;23
;20;;;16;19;21
;21;;;21;19;19
;;;;23;;21
;21;;;21;;16
;;;;24;;17
23;27;;;25;24;20
;24;;;25;;20
;;32;;16;;5
;24;;;23;17;20
;19;;;19;;15
;21;;;21;;17
20;22;74;;20;;20
;25;;;21;;17
;24;;;32;18;20
;23;;;34;21;34
;19;;;22;;17
;25;;;18;26;24
;;;;20;;10
;20;;;15;17;21
;25;;;25;;18
;29;;;35;19;21
;17;;;17;;17
;21;;;21;19;21
24;25;47;;26;26;28
;19;;;17;20;33
;21;;;21;;19
34;35;;;19;18;18
;22;;;23;20;15
;24;;30;22;17;17
;23;;;23;;17
;23;;;31;;20
;;44;;18;39;21
;;;;22;;15
;21;;;18;20;18
;;;;17;26;26
;20;;;19;19;19
;21;;23;21;;17
;21;;41;17;19;19
;18;;;23;18;18
;26;;;16;15;15
;28;;;38;20;20
;20;;;21;20;20
;23;;;32;18;21
;15;;;16;;19
;21;;;22;43;21
;22;;;17;22;23
;;;;32;26;20
;;;;31;21;21
;23;;;18;22;22
;30;;;30;17;20
;23;;24;17;39;17
;23;;;24;22;28
;27;;;27;25;25
;;39;;43;32;32
;28;;;28;22;22
;20;;;21;20;20
;20;;;15;20;35
;25;;;25;19;19
;24;;25;32;20;21
;22;;;23;18;20
;30;;;33;22;22
;;;;23;;18
;19;;;19;21;21
;19;;;23;18;18
;19;;;21;19;19
;22;;;24;17;17
;;33;;30;25;25
;27;;28;31;;18
;23;;;23;;14
;;;;24;;17
;;;;18;;17
;18;;19;15;19;17
;20;;;17;21;20
;21;;;17;20;20
;24;;;38;19;22
19;20;;;15;19;19
;;;;15;19;22
;20;;;18;21;21
;22;;;17;22;22
;20;;;18;18;18
;23;;;17;21;21
21;22;;;15;17;17
;26;;;15;17;13
;23;;;24;19;21
;21;;;21;20;20
;19;;22;17;18;23
;18;;;16;33;33
;20;;;21;;18
;21;;;23;19;19
;20;;23;21;17;17
;24;;24;23;23;23
;19;;;19;19;19
17;19;70;;17;30;16
;19;;;19;30;17
20;20;;;20;19;18
;17;;;23;17;17
19;20;39;;20;;15
;22;;22;30;32;19
;19;;;39;27;18
;25;;;55;40;18
;23;;;23;23;18
;23;;;23;21;21
;23;;;23;24;23
17;19;;;17;23;22
20;20;45;;24;20;23
;29;;;20;26;25
;;;;21;34;21
;29;;;32;22;24
;25;;;17;22;17
;19;;25;19;19;19
;26;;;26;19;21
;24;;25;38;17;17
;24;;;20;20;18
;26;;;20;25;27
;17;;;17;22;20
21;21;38;;12;;19
20;20;;;4;18;21
;;;;35;24;24
23;23;43;45;18;23;23
;24;;;;22;20
24;25;51;;25;29;17
;19;;;15;;16
;22;;;22;19;20
;;;;24;24;24
;21;;;34;16;18
37;42;;;37;19;18
;19;;;19;;16
;21;;30;21;24;19
;22;;;54;18;22
;30;;;33;26;15
21;30;28;35;22;19;16
;;26;;18;19;19
31;18;;;20;27;18
;22;;;16;20;19
;;;;26;19;19
;23;;;28;19;22
;19;;30;19;44;24
22;22;27;27;21;30;17
;21;;;21;21;19
23;23;27;30;31;;18
20;21;;;39;16;17
;;;;18;19;19
;26;;28;31;22;22
;21;;;17;22;22
23;26;;;23;18;18
;25;;;19;19;19
18;23;18;34;18;17;17
;;27;;;22;22
;24;;;17;21;22
;20;;;21;39;18
;;;;;24;18
22;22;;;23;24;24
;20;;;19;17;18
22;23;;;;18;18
;20;;;10;16;17
;21;;;21;20;22
;19;;;19;19;18
;20;;;;17;20
;22;;;17;21;21
;20;;;18;20;17
;25;;31;;24;24
;22;;;16;18;18
;25;;;19;19;19
;19;;27;19;27;26
;26;;;22;18;19
;20;;;20;20;20
;23;;;23;17;18
;24;;;18;;18
;21;;;23;20;18
;17;;;23;19;19
28;28;;;23;24;24
44;27;;;16;19;20
18;18;28;28;18;18;21
;;;;19;24;19
;21;;;38;36;17
;21;;33;21;28;21
29;33;;;15;24;24
;22;;;18;21;23
;28;;35;18;25;18
;;;;17;28;17
23;24;;;17;23;23
21;21;38;38;18;21;18
25;25;27;27;25;30;18
;25;;;25;24;17
;33;;;33;24;19
;28;;;17;21;22
;20;;21;17;19;19
27;29;31;31;26;18;21
;31;;;24;24;15
;21;;;19;;19
23;24;40;40;34;18;18
;18;;;25;18;18
;26;;;19;28;15
;27;;;20;22;19
;19;;;20;17;18
;25;;;24;22;22
;;;;23;17;17
;;;;7;22;22
;22;;;22;17;18
;19;;;21;17;18
26;27;;;24;18;18
;21;;;17;22;22
;23;;63;53;22;22
;22;;24;18;22;22
;;23;;26;25;17
;22;;;17;19;21
18;18;;;18;23;23
;25;;;25;18;18
;20;;;32;22;19
;23;;;15;29;19
;26;;;17;17;18
;20;;41;20;;17
17;18;24;;24;21;21
;;;;18;21;24
;16;;18;16;46;18
;21;;32;21;32;57
;20;;;26;41;19
;27;;;16;16;16
;22;;;23;24;18
;;;;;18;20
;18;;;22;31;18
;22;;;22;28;21
;25;;38;47;29;20
;24;;42;29;31;27
;21;;;17;19;19
;19;;;24;19;19
;24;;;20;20;20
;23;;49;18;23;23
;25;;;28;21;32
;21;;;20;20;20
;25;;;20;24;24
20;20;30;30;20;24;17
;22;;;35;21;17
;21;;;21;18;20
;26;;;18;38;13
;21;;;37;22;22
;;;;5;19;18
;20;;;23;18;18
;25;;;17;21;17
;29;;36;18;26;17
;25;;;21;;17
;;;;19;;20
;19;;24;19;35;29
;18;;43;22;18;18
;26;;;25;39;22
23;24;32;32;;19;19
;25;;;16;19;19
;24;;30;17;21;22
15;16;19;19;17;18;21
;;53;;19;22;17
;29;;;30;21;23
;26;;;26;26;21
;19;;;18;24;18
;23;;37;23;18;18
;25;;;27;19;23
25;25;31;50;19;25;25
;26;;;27;38;37
;21;;41;19;23;23
51;22;;;14;17;17
;19;;34;22;24;22
;21;;25;57;17;19
;26;;;15;22;19
;20;;;17;24;24
;39;;;21;22;20
;22;;;22;24;23
;24;;;22;;17
;19;;22;17;21;25
31;39;36;;18;21;21
;;35;;26;20;17
;33;;43;26;18;18
;22;;;;22;21
20;20;;;31;29;19
;22;;;17;22;22
;;;;;21;23
;21;;;47;39;20
23;23;;;24;17;19
;22;;;22;20;19
;;;;24;22;18
;;;;;20;24
;22;;;23;20;22
27;28;36;36;23;22;22
;21;;;21;17;20
;19;;21;19;19;21
;20;;26;22;20;22
;19;;;17;20;17
18;19;21;21;20;25;18
;24;;;16;16;16
;;;;16;18;17
;18;;;;18;20
;23;;;15;25;17
;24;;;15;37;15
;22;;;12;18;18
;;;;18;27;21
;;57;;18;19;18
20;22;29;29;19;23;23
;22;;;21;25;18
;24;;;24;20;20
;22;;;20;;18
;22;;;26;19;21
22;22;41;;22;31;18
;24;;;29;25;26
;30;;;31;19;19
;23;;24;21;20;19
;;;;;18;20
;23;;;36;22;20
;;;;17;19;19
;19;;;15;17;19
;;;;19;18;18
;23;;;29;21;23
;;;;14;15;18
;23;;;14;15;16
;;;;24;23;19
;22;;;19;19;19
;18;;;14;20;16
22;22;;;15;29;17
;;;;18;;18
;25;;27;15;24;18
;19;;;25;18;18
;31;;46;19;19;19
23;24;;;23;24;19
;26;;;18;32;16
24;24;;;16;20;20
23;24;49;;19;35;22
;18;;20;20;25;26
;;23;;20;20;20
26;18;28;28;17;23;24
;18;;;18;19;20
;30;;;18;21;21
;21;;;15;24;20
;19;;;;18;18
;25;;;17;18;19
20;20;27;28;20;22;26
;;;;17;18;27
31;39;40;;17;19;19
;26;;;17;24;19
;20;;23;21;21;21
;20;;24;15;17;21
;;;;23;19;19
;24;;;24;23;23
21;22;46;41;28;16;18
;19;;;8;23;23
;23;;;18;19;22
;23;;;25;23;23
;;;;18;16;18
;20;;;20;19;19
;20;;;24;22;22
18;19;25;25;15;18;18
;20;;22;6;20;17
21;21;;;21;19;17
23;23;;;23;21;21
;20;;;17;23;25
;21;;;20;20;20
26;31;28;;21;22;22
;;;;37;21;17
;26;;32;19;24;24
;23;;;23;25;20
;22;;;9;27;16
;21;;44;42;28;28
;18;;23;31;17;18
;22;;33;18;;18
21;22;40;40;18;23;17
;19;;;16;28;18
;18;;25;35;16;16
;25;;28;22;22;22
;27;;;34;28;15
;25;;;20;29;20
;26;;;48;24;18
;19;;24;17;22;23
;;;;22;23;17
;20;;;20;23;23
;21;;;20;20;20
29;29;37;37;27;19;19
20;21;;;21;19;20
;20;;24;28;20;20
;;30;;20;18;31
24;24;35;35;25;19;19
;20;;;20;23;29
;23;;;23;20;16
;19;;;19;19;19
31;35;43;43;18;32;20
;;;;;20;16
;;26;;20;20;20
;21;;;21;24;31
;24;;;15;18;18
17;21;25;25;16;19;19
;34;;;26;15;15
;28;;;41;21;21
;26;;45;23;;19
;20;;42;18;18;18
26;39;;;16;19;19
;;25;;13;18;18
;22;;;18;21;19
;;;;19;18;18
17;20;;;20;37;19
22;23;;;19;18;18
23;23;;;23;37;16
;22;;;23;18;18
;25;;;17;24;24
;28;;31;30;21;21
;;;;15;17;14
;25;;29;15;28;29
;;40;;17;21;21
21;22;43;;21;;15
;21;;;25;20;20
30;30;;;24;19;19
;;;;29;25;19
;23;;29;21;21;22
;21;;;17;19;19
;23;;;23;19;17
;21;;;21;36;19
;18;;49;14;19;19
;;;;15;;19
;23;;;18;19;21
;20;;26;17;18;17
27;27;;;27;18;20
;;;;;18;22
;22;;;18;20;20
;21;;;19;29;18
;;;;;19;19
;19;;;16;19;19
;22;;;15;18;18
;21;;;21;17;18
;;;;19;19;20
;19;;21;19;17;17
;21;;;18;22;20
;23;;;16;18;20
;21;;;19;19;19
23;24;;;18;22;20
;;;;15;15;20
;23;;;22;20;18
;20;;;20;19;29
;23;;;20;18;18
25;27;26;;17;17;20
;19;;;18;19;19
;;;;16;18;27
;;;;17;18;18
;;20;;18;19;21
;24;;;16;17;17
;20;;;22;18;18
;22;;;15;17;17
20;22;;;21;34;18
;19;;22;16;25;19
23;24;;;18;18;20
;18;;19;18;;16
;21;;;19;19;21
;28;;;28;19;19
;19;;;18;19;22
;21;;;15;18;18
;21;;;21;20;22
;27;;;19;17;
;19;;;19;18;19
18;18;25;31;19;19;19
;16;;21;17;18;16
;24;;51;23;;13
;18;;25;17;;17
18;20;73;;18;;16
;;58;;21;;19
;;;;18;18;17
;22;;;19;18;17
;22;;;22;21;21
;18;;36;18;;17
22;29;24;;17;17;17
;23;;;27;18;15
16;16;;;17;;16
;19;;33;19;17;21
;22;;;19;21;18
;19;;37;21;18;18
;24;;;24;17;18
;23;;;23;18;18
;26;;;25;20;21
;22;;;18;20;21
;22;;;17;22;22
;19;;;38;17;20
;18;;;18;;20
19;19;;;18;19;22
;20;;;17;18;19
;22;;23;21;22;20
;21;;;18;22;20
;18;;;21;24;18
;18;;;18;18;32
;20;;;18;20;17
42;43;;;19;19;21
34;35;57;;34;20;19
;22;;;16;21;21
20;22;43;;20;;15
;23;;;18;20;20
;21;;;15;18;20
24;26;;;29;19;20
15;17;20;;19;19;18
;22;;26;17;20;18
18;18;24;32;15;19;17
;21;;;21;19;19
18;18;39;38;15;17;17
;24;;;25;26;20
17;18;35;;16;17;16
;30;;;17;21;21
24;24;24;25;21;19;19
20;22;21;;15;20;20
;20;;21;27;17;17
;20;;;17;19;19
26;29;;;9;23;22
;20;;;21;20;19
;21;;;15;18;17
;20;;;20;17;20
;22;;;22;21;20
;20;;;50;25;21
;19;;42;19;;17
21;23;;;17;20;21
21;21;;;18;18;17
;22;;23;22;39;26
;23;;;18;25;25
18;19;;;18;;18
;;;;23;18;18
19;19;;;23;27;20
;18;;;15;18;19
18;19;;;15;18;18
;21;;;21;18;18
;18;;;17;18;18
;;;;19;;15
22;22;44;;17;21;21
;21;;;21;18;18
;;;;19;18;19
21;22;;;21;21;21
;;;;17;18;20
26;27;29;36;15;18;18
17;24;20;;23;18;20
21;21;;;17;24;24
;23;;;15;18;18
;19;;;22;21;21
;;;;20;;16
;23;;;23;26;16
;20;;;15;18;18
;19;;;18;20;18
;21;;;31;21;21
;24;;;28;30;18
;20;;;18;18;18
;19;;24;21;22;22
;;;;28;23;24
;21;;;16;18;21
21;22;55;55;21;20;18
;22;;;22;25;18
;21;;;21;21;26
;19;;;17;19;19
27;28;;;31;22;22
;25;;;25;19;17
;24;;;24;17;20
22;30;25;;23;24;17
;20;;;18;19;19
;;;;27;22;23
;21;;;17;25;19
;22;;;23;23;19
22;24;24;29;22;22;19
;36;;;19;21;17
;24;;32;15;29;17
23;26;;;18;19;22
;25;;;18;20;20
;23;;;23;27;17
;;;;17;19;20
;22;;40;17;29;17
19;19;20;;15;19;19
;20;;22;17;19;17
;22;;;17;18;20
27;28;41;41;18;23;17
;;;;16;31;18
;18;;;17;18;20
;21;;;22;22;22
28;28;;;28;19;17
;21;;26;20;29;29
;23;;;19;18;18
;18;;;18;18;18
;26;;;23;33;28
;20;;;17;22;22
;22;;;17;22;21
21;22;;;21;;17
20;21;;;17;22;17
;23;;;24;17;15
;;;;;18;25
;;;;25;19;19
;24;;;23;29;18
19;19;;;17;19;24
;18;;30;16;29;18
19;20;50;;21;19;19
25;27;;;27;24;17
20;21;;;19;21;22
;27;;;15;25;25
17;18;25;;17;18;19
17;17;;;15;19;21
;19;;24;27;29;29
;22;;;19;19;19
20;20;;;23;19;20
19;19;;;18;18;18
;23;;39;18;28;17
22;24;;;20;15;20
24;24;;;15;21;21
19;34;20;;19;19;16
19;21;;;17;18;20
;20;;;20;;15
;19;;;15;18;18
;19;;;17;45;17
;19;;;29;;16
19;24;;;14;21;22
;21;;;24;20;16
20;20;65;;19;20;18
;;;;19;19;17
20;43;;;20;;15
19;20;;;19;18;19
;19;;;19;22;11
;20;;25;19;;19
28;29;;;27;19;19
;23;;31;18;17;16
;19;;;18;18;20
18;21;20;;23;18;23
;20;;;17;19;19
18;19;40;32;17;18;18
19;23;;;15;26;24
17;24;19;;17;19;16
;22;;25;22;19;19
19;20;;;20;17;16
;29;;;40;22;18
;;;;49;19;19
17;18;;;17;16;16
;23;;;29;;21
;21;;;18;26;17
;19;;;22;22;35
;18;;22;25;;17
;24;;;19;24;17
;23;;23;18;21;21
24;25;;;24;18;18
21;22;29;;16;22;15
;;;;18;24;19
;24;;;18;17;20
;21;;61;19;17;17
17;18;19;19;18;20;20
;24;;;18;24;19
;24;;28;17;22;22
;20;;;21;21;21
;22;;;23;23;59
22;23;;;21;16;19
;19;;;19;22;17
28;28;;;19;23;18
;19;;;19;27;18
;22;;;22;;16
;;;;26;20;21
22;26;37;53;22;28;28
;22;;;17;18;18
;25;;;28;16;16
24;24;26;;28;18;22
;21;;;23;63;63
;19;;23;18;16;19
;22;;;23;23;21
;26;;;40;24;9
;;31;;18;37;33
;21;;28;20;20;18
20;24;;;11;19;19
;20;;27;28;30;18
;21;;29;21;30;15
;25;;35;16;20;13
27;27;;;19;27;27
;25;;39;18;21;25
;18;;;15;18;20
;20;;;19;20;23
;;;;14;;
20;21;;;16;20;17
20;20;;;20;20;20
;;28;;11;17;51
;19;;24;12;18;18
;18;;;18;18;17
;19;;;19;28;18
;17;;22;17;19;18
;25;;;25;29;30
19;19;;;15;19;19
;24;;;24;19;17
;19;;24;19;;18
;16;;18;16;;18
;25;;;25;28;25
;;;;22;19;28
;22;;;20;20;20
;17;;30;17;18;15
;24;;37;19;28;28
30;31;;;15;;30
;21;;30;17;;21
;20;;;15;;18
;;;;28;19;19
23;25;;;18;20;22
23;24;70;;19;29;19
;20;;;20;29;20
;24;;;23;15;15
;18;;33;18;18;19
;20;;;20;18;20
;20;;;17;17;20
;;;;19;40;19
21;23;;;17;20;17
20;21;36;;19;19;20
;;;;22;14;17
22;23;28;28;17;23;18
;22;;;26;34;17
20;26;;;20;20;17
18;19;48;;18;;16
18;20;;;21;;20
;;53;;20;19;18
20;20;;;16;19;18
;;;;;16;16
;20;;22;19;19;19
;28;;;19;18;15
;;;;20;19;19
;20;;;20;;17
21;30;25;;21;27;17
;22;;;22;18;19
21;21;21;21;21;;11
;18;;22;18;16;17
17;18;;;17;20;17
20;20;;;20;;38
;23;;;25;25;18
17;17;;;17;;
;;17;;21;17;
;;;;20;;
;19;;;21;18;16
;17;;;17;;33
18;21;;;18;18;16
20;21;26;26;16;20;20
;;;;21;21;21
;;;;27;17;18
;22;;22;29;;14
;22;;;22;16;18
;19;;;15;25;14
;;;;21;;19
23;23;56;;16;21;24
;30;;;17;20;22
;20;;;19;19;19
;21;;43;23;28;17
;40;;;20;20;19
;;20;;18;;18
;23;;;19;;25
;17;;22;23;19;17
;22;;;41;24;20
;20;;;20;35;17
;22;;25;22;21;17
;;26;;18;18;18
;;39;;26;16;17
19;19;26;26;15;16;17
;16;;21;18;23;18
;28;;43;47;29;18
;;;;17;23;17
19;20;31;31;5;29;16
;25;;;18;;19
;23;;;27;19;26
;24;;;41;23;24
26;29;76;;26;24;25
;26;;;26;20;20
;;;;37;31;34
37;38;42;42;66;17;18
;24;;;24;24;18
;29;;;29;23;24
;21;;;21;22;25
;23;;;23;;18
21;22;;;22;19;19
;20;;;16;18;17
18;18;22;22;18;16;18
;23;;34;19;;19
;;;;18;21;22
;17;;29;;35;19
;22;;;18;24;24
;31;;43;39;35;19
;18;;22;35;19;22
19;20;45;;17;36;18
;20;;;28;22;15
;21;;;22;23;15
;21;;;17;36;36
;18;;22;18;19;20
;23;;25;23;33;20
;18;;24;25;29;21
49;50;57;;19;;19
;24;;;22;18;19
26;35;;;19;19;20
;;;;47;21;19
20;26;59;;26;21;24
;;26;;21;29;14
36;45;;;26;33;17
17;18;31;30;18;16;17
;22;;25;17;23;16
;19;;33;;23;23
;25;;29;15;27;28
;24;;;24;21;21
;16;;37;16;16;16
;19;;;23;;16
21;21;;;21;19;20
;25;;;25;21;19
;24;;;24;23;24
;21;;;21;22;23
;34;;;19;19;19
;;;;53;25;25
;;;;15;;22
;;;;12;23;20
18;20;;;27;22;18
;21;;;21;19;19
;20;;;20;15;13
;24;;;;22;22
19;25;22;;20;21;23
;30;;;33;56;17
;;;;24;30;17
;23;;;18;24;17
;23;;;24;24;23
19;19;30;30;20;20;20
21;25;;;31;18;19
;26;;;21;21;18
;;49;;18;19;19
;20;;33;15;19;19
18;19;36;38;25;17;17
;28;;;31;33;16
;20;;22;20;22;22
;30;;;29;;20
;19;;;24;20;20
17;20;;;8;16;16
;22;;;22;26;17
18;20;25;26;18;18;18
;25;;;25;19;18
25;25;45;;22;22;17
24;24;40;;19;19;19
18;23;;;18;23;22
23;24;32;27;22;30;20
23;23;29;29;23;38;18
;19;;29;18;40;24
;26;;;19;19;22
;21;;;20;22;18
;24;;;16;15;15
21;34;24;;30;;11
;;;;20;20;19
;17;;35;21;;15
;23;;;24;;16
;23;;;23;;18
;;31;;18;25;25
;19;;25;19;28;20
23;28;;;17;22;22
;23;;;18;27;17
19;20;25;25;26;;18
;;;;17;28;19
17;19;26;28;47;28;17
;21;;;17;20;20
;27;;48;26;18;18
;19;;28;18;19;16
16;20;17;;16;;24
24;26;;;14;25;15
22;22;33;48;22;48;17
19;19;;;19;19;19
16;26;16;;15;;16
;20;;;27;20;20
;42;;;17;20;24
16;17;38;39;18;;16
;33;;;19;23;21
24;25;;;19;23;24
;24;;;24;18;18
;19;;25;20;18;15
17;26;18;;17;18;17
;21;;;16;24;15
;20;;;18;38;19
20;21;;;20;19;24
21;22;32;37;19;17;18
;19;;;19;19;18
;20;;;15;30;20
19;20;;;19;20;23
;22;;;22;31;20
21;22;;;20;19;20
18;19;54;;18;;33
;18;;;21;19;17
20;21;;;18;21;16
33;33;34;34;18;35;17
20;22;;;18;28;17
19;19;;;19;19;21
20;23;23;;17;22;22
19;20;;;15;19;19
;21;;36;9;33;16
19;20;26;;21;19;19
;22;;;22;38;18
;19;;;15;37;19
;27;;55;15;29;20
19;19;22;22;19;19;23
;20;;;17;20;20
