partner;marriage;farewell;divorce;separation;education;work
;21;;;21;21;21
;20;;;20;25;21
30;31;35;41;19;19;19
;24;;;18;18;15
;18;;19;18;19;20
22;22;;;19;19;19
;28;;29;18;20;20
;;30;;18;18;15
18;20;30;;18;20;22
20;23;;;20;19;19
;28;;;21;27;27
;18;;40;26;21;17
18;20;;48;18;24;24
18;21;55;;21;;21
;21;;;20;20;20
20;20;;;20;20;21
26;26;27;27;25;14;14
19;20;;;15;19;19
19;20;;;19;18;19
25;27;;;25;;18
;19;;;19;;19
;23;;;23;29;20
24;24;;;22;22;22
19;20;;;15;18;18
18;22;31;31;18;22;15
;;;;26;23;23
16;26;21;;16;;15
19;21;;;17;17;19
;17;;;20;;19
;19;;;6;;16
;25;;;30;19;22
;25;;;17;37;23
;23;;;23;;17
;;;;19;19;19
;21;;;21;34;17
;16;;;16;;16
;21;;;20;20;20
;22;;;18;17;20
21;22;68;;20;19;19
24;29;;;25;40;15
20;20;;;20;19;19
;24;;45;24;;17
;18;;;18;18;19
;20;;;20;;16
16;18;19;19;19;19;19
18;19;30;;18;19;16
;17;;18;18;18;18
;26;;;25;18;18
28;32;48;48;28;18;21
17;17;;;17;;17
;18;;38;18;;18
18;21;18;33;21;;17
;21;;;17;20;17
;18;;24;18;19;18
20;21;;;16;;20
26;27;37;37;26;23;23
19;20;50;;19;;17
21;25;23;29;16;19;19
;;18;;15;16;17
;28;;;27;27;27
18;18;;;18;;17
;25;;;25;19;20
;22;;;24;23;18
;19;;;19;;14
21;22;65;;18;18;18
19;19;;;21;20;23
;;23;;22;19;18
;21;;;21;23;21
;19;;41;17;17;19
;18;;25;16;18;18
;21;;;31;;18
;21;;;31;17;21
;;28;;35;26;20
20;20;;;20;26;17
;22;;29;1;22;22
;22;;24;19;28;19
21;21;;;17;18;18
;22;;;15;26;14
;29;;;29;15;15
34;35;;;44;26;18
;22;;;31;18;13
31;32;36;36;32;19;19
;;;;22;20;21
;24;;;18;;16
;25;;;19;;14
;24;;;44;23;20
;22;;;27;19;25
;19;;;20;;18
;;;;16;;17
27;35;34;;18;23;23
;;;;20;;18
;;24;;18;18;16
19;19;41;44;27;18;19
21;21;;;18;22;20
22;24;38;42;27;27;21
20;23;;;13;18;15
;;;;22;21;21
;22;;;19;17;16
;23;;;19;21;19
;19;;33;18;18;18
;21;;;21;;18
;17;;21;17;16;19
19;19;;;19;18;19
;19;;23;19;18;19
;25;;;20;28;20
;19;;;18;18;18
;;;;24;21;21
;19;;;18;19;18
;27;;;27;25;19
29;36;;;15;17;16
;27;;35;34;18;18
17;23;18;;31;18;18
;;;;22;22;20
;23;;;17;22;22
;24;;;30;29;16
;27;;;27;26;18
;20;;;20;35;18
;17;;22;21;18;18
;22;;;37;;17
;;;;29;;17
23;26;;;20;18;20
25;29;;;25;;17
18;19;21;21;19;19;19
;17;;;19;;16
;;;;20;19;19
26;27;;;17;21;24
22;23;;;22;19;19
;29;;;19;30;17
;19;;31;23;19;19
;18;;;18;17;18
;21;;36;14;20;21
;18;;;18;18;20
;;;;31;20;18
;22;;37;15;20;17
;20;;;20;;17
18;21;19;;21;19;17
21;25;29;36;27;36;18
;;28;;26;18;18
;24;;;21;;17
31;36;;;23;18;18
;;;;;23;23
;19;;20;19;34;19
;19;;23;23;23;23
;21;;;21;22;22
;;;;;18;20
;24;;;27;;17
17;21;45;45;17;17;18
;24;;;17;23;23
;;;;19;19;19
;35;;;25;20;17
28;29;;;28;23;23
;24;;;19;18;19
;19;;;19;17;16
;29;;;29;25;17
;20;;;23;;17
;21;;;21;26;17
;23;;;19;19;19
20;21;;;18;36;19
;20;;21;15;17;17
;25;;;17;22;22
;25;;;29;19;19
17;18;;;17;17;17
23;23;;;22;18;18
22;23;;;27;20;16
23;29;39;;20;36;20
;18;;;15;17;17
;;;;;;20
;;38;;17;22;22
;;;;27;46;16
;19;;24;19;20;20
;21;;;25;19;18
;22;;;17;32;21
23;24;47;;22;31;18
;16;;;18;;16
;22;;;15;;18
16;17;;;18;;16
;21;;;21;21;17
;22;;;17;20;21
;;24;;17;19;19
24;24;25;25;19;24;24
23;23;;;22;26;21
37;37;;;3;18;18
;22;;;18;22;18
;;;;24;20;18
21;21;;;17;18;18
;22;;;16;36;22
;22;;;22;18;19
;19;;;19;17;23
;22;;35;5;25;15
23;24;30;34;18;34;21
;;;;;23;24
;;34;;26;36;21
17;17;20;20;1;24;15
;25;;;18;25;19
54;21;;;17;22;23
;;25;;19;;19
22;22;;;17;23;17
;24;;;18;22;20
;22;;35;22;20;19
;22;;;16;25;22
;21;;;21;18;16
26;27;;;19;19;21
;18;;;9;;17
;;26;;19;22;22
17;18;24;24;17;17;17
24;25;32;35;15;18;18
19;30;21;45;18;21;17
25;30;27;41;21;28;17
;;;;12;20;20
;20;;;20;;18
26;31;50;;26;;22
;;;;22;34;17
;;;;21;;21
21;22;30;30;17;36;21
19;23;26;30;19;20;19
;27;;28;17;20;24
;30;;;18;18;18
22;23;;;17;19;18
;;23;;18;18;18
;19;;;36;22;21
;21;;;14;19;19
;21;;;22;27;20
;19;;;21;23;22
;24;;;26;19;23
24;24;;;;;17
18;19;;;;20;18
;28;;;19;28;28
17;24;25;26;18;20;29
;20;;;30;17;21
18;18;;;18;;16
19;20;38;;18;;17
;19;;;19;23;18
18;18;38;;18;;16
21;23;;;18;25;25
;20;;;25;19;19
;18;;;15;17;17
;19;;23;23;23;23
;;23;;19;18;
;21;;;21;29;18
;;;;19;36;19
19;19;31;32;16;17;10
;;28;;20;22;21
;22;;;22;22;22
;23;;46;17;22;22
;21;;53;27;28;22
;21;;;17;22;23
;21;;;22;21;21
;;31;;23;23;23
;21;;26;21;20;20
25;26;;;25;23;23
;;;;19;12;21
;25;;;20;27;27
;24;;;17;20;17
;;;;23;21;21
18;19;23;23;18;25;22
19;20;33;33;17;22;22
;19;;;18;25;17
;24;;;24;;23
18;19;45;;16;53;17
;22;;;19;23;23
26;27;31;31;14;21;21
;25;;32;55;24;24
;20;;23;17;16;17
21;22;33;31;23;34;17
;26;;;26;19;19
;23;;32;17;46;20
;25;;26;17;24;24
;20;;;14;19;19
23;23;35;37;28;21;22
;;22;;19;22;21
17;18;23;25;17;24;17
;21;;;21;28;21
;;;;24;21;19
;;;;26;17;24
;;;;19;42;19
;26;;;27;24;23
;22;;;25;19;18
21;28;;;17;20;22
;;31;;20;18;20
20;20;26;26;16;19;20
;26;;;17;22;22
17;17;19;19;18;30;17
24;25;60;;19;24;24
;;;;21;17;16
;;;;17;38;14
;;;;18;18;21
;22;;;21;27;30
;;;;26;25;18
;;;;25;20;17
24;24;29;29;20;25;18
23;24;;;23;39;8
30;30;67;;15;;18
;18;;19;18;;17
;;20;;18;15;21
20;20;;;25;30;21
;21;;;27;20;20
;21;;40;21;20;20
21;22;52;;18;23;24
;26;;;22;19;19
27;27;65;;23;28;28
;;;;18;28;18
;19;;25;17;18;18
;;34;;18;28;17
;22;;36;44;17;17
;22;;;23;19;19
;19;;;15;18;18
21;23;32;;21;20;21
17;20;45;;14;19;13
19;19;;;16;20;16
21;21;34;34;20;18;18
18;19;29;29;17;20;21
;19;;;19;19;19
26;27;;;20;;20
;24;;;18;21;21
;22;;;22;20;18
17;19;18;28;17;18;22
28;29;;;29;;18
22;22;39;39;29;18;17
;21;;;21;17;17
21;25;32;32;19;29;20
;;33;;23;;17
;26;;44;20;34;34
;19;;;19;19;20
;;29;;21;19;19
;;;;20;22;26
;22;;;24;19;19
;;;;;18;19
22;25;26;26;;;17
;27;;;27;36;17
;;31;;25;23;18
;26;;;17;18;18
;;;;;22;22
;26;;;17;30;20
;25;;;18;;7
;;25;;25;22;22
;21;;;16;18;21
;22;;28;18;23;23
;24;;;16;16;18
20;20;38;38;26;17;21
18;20;;;15;16;19
;;28;;17;22;23
21;22;;;21;20;21
;23;;26;18;18;17
19;20;;;21;19;23
18;18;;;26;19;19
;29;;;24;22;22
19;20;49;;19;18;18
;;;;;;17
;23;;;24;18;21
;19;;;17;20;22
;22;;;18;18;21
;23;;;18;16;12
;;;;27;;20
;25;;;26;20;19
;22;;;15;28;20
;21;;;18;22;18
;25;;;18;25;25
;;;;23;18;18
;37;;;17;19;21
;;;;17;22;22
22;22;;;17;21;22
27;28;;;49;21;18
;22;;;22;;18
;;;;7;;23
19;19;32;;17;37;18
;20;;;15;22;22
;20;;;17;;18
30;32;;;18;;20
18;21;;;35;21;19
;;37;;29;18;17
;23;;;29;17;16
;20;;;16;19;19
29;29;;;17;19;19
;27;;;21;20;16
;18;;35;18;18;20
;18;;;17;18;18
;22;;;22;18;19
;28;;;28;18;18
;22;;;15;18;18
25;27;;;27;27;27
;33;;;35;18;17
;20;;;20;;16
;20;;;24;31;20
;20;;;26;;17
25;25;;;16;17;18
;20;;;23;;17
;29;;;15;18;18
;19;;;26;27;16
;25;;;17;28;21
;20;;27;27;;15
;22;;;18;;20
;;29;;17;18;21
;18;;;16;17;17
20;20;39;39;17;18;18
22;22;25;25;22;18;16
;22;;;17;20;20
;23;;;17;;18
;24;;38;38;25;18
;20;;;20;20;60
;;23;;18;18;18
;;;;26;19;22
21;22;;;23;20;19
;20;;;21;18;16
22;24;;;17;20;20
;22;;;19;22;20
21;22;;;15;20;20
;23;;;44;17;18
;18;;;18;19;18
;;23;;18;19;19
;22;;;33;21;21
;20;;;20;;17
;;28;;25;21;19
;18;;;18;18;17
22;27;;;17;22;22
;17;;22;19;18;18
;22;;;18;;12
20;23;;;23;23;23
;;;;16;19;21
;;;;21;16;17
;;56;;37;;16
;;;;49;;12
20;20;;;45;22;22
;23;;;25;;14
;;64;;20;;15
21;22;28;28;17;23;23
;21;;;17;21;
;;;;28;;19
;23;;;19;25;16
;21;;;28;18;17
;21;;;25;17;17
;;;;22;;19
;22;;;18;;21
;24;;;15;19;19
;24;;;26;17;18
;20;;;20;18;18
;24;;;20;26;14
;;;;31;34;19
;19;;21;15;18;18
;20;;23;24;;17
;;;;19;32;22
;22;;36;15;19;19
;29;;;19;24;24
;21;;35;21;;20
;21;;;21;20;17
;23;;;23;21;21
;25;;;28;19;18
20;22;;;;19;19
;20;;;21;;16
22;23;;;22;19;21
;21;;;21;;17
;23;;;19;16;15
21;22;;;17;30;20
17;19;;;17;;18
;22;;;18;;18
20;20;24;24;18;21;18
;20;;;20;16;17
;;;;17;19;19
;20;;;23;19;19
;;;;19;;20
;21;;;18;18;21
;18;;;18;36;17
;19;;;;17;23
;21;;;17;25;21
;;;;17;30;20
19;19;23;23;19;;18
;;;;18;24;17
;19;;;14;20;18
;20;;;20;20;22
;23;;;19;23;17
;;;;16;18;18
;;44;;16;;16
;22;;;27;;17
;19;;;35;22;24
;21;;;15;20;19
;22;;34;22;19;19
;17;;;14;18;18
;19;;30;20;18;19
18;19;;;18;17;18
;20;;25;30;;18
;19;;20;20;19;20
;20;;21;18;19;8
;24;;;17;19;21
;19;;;18;19;19
;21;;;21;;20
;21;;;15;18;18
17;18;39;;21;19;19
;25;;;25;18;22
;22;;;23;18;18
;21;;;21;21;22
;;;;51;;17
19;25;54;;19;10;17
;26;;27;27;26;15
;22;;;17;21;21
;21;;;15;26;19
;23;;;23;20;20
;24;;;54;17;17
;21;;;16;18;18
18;18;;;17;19;27
;25;;;25;29;20
20;20;30;;16;16;18
;21;;;18;23;23
;18;;;17;22;22
;20;;;16;;16
18;18;39;;18;18;48
;26;;;26;18;21
;18;;;18;29;23
33;37;50;50;20;18;18
;22;;;22;21;21
;24;;;17;21;21
;20;;;17;19;19
;22;;29;18;18;18
;25;;;25;19;29
;;;;17;23;21
;19;;;39;17;17
;22;;;22;;19
;22;;;18;21;21
;22;;31;22;18;23
;23;;;24;24;24
;20;;;20;26;16
;18;;;18;30;15
;22;;;17;20;20
;21;;;21;17;17
;21;;;22;21;18
;30;;;21;25;25
;20;;;20;20;20
;22;;;19;19;20
;27;;;51;;17
;21;;;19;18;21
;20;;;18;18;21
20;24;;;26;18;20
23;26;;;23;17;17
;23;;;18;24;18
;26;;;26;;17
;15;;45;15;16;15
;19;;;24;19;19
21;21;29;29;21;21;21
;23;;;19;19;21
;21;;;21;;18
;20;;;17;22;23
;24;;;56;21;21
;22;;;23;;19
;20;;;21;17;19
;19;;;15;16;16
;29;;;22;22;22
;24;;;25;20;20
;20;;;20;20;20
;24;;;24;;16
;;35;;20;17;20
;;;;65;;20
;24;;;16;16;25
;24;;;18;23;23
;21;;;17;20;20
;;;;20;20;16
31;32;;;17;17;19
;;;;18;18;20
;22;;;19;19;23
19;19;;;20;18;18
;19;;;15;18;18
;;;;15;19;19
23;40;26;;40;;14
;22;;;25;20;20
;;;;21;;16
;;;;30;18;18
18;19;;;18;17;18
;37;;;17;25;17
;19;;;17;18;18
;23;;;48;19;35
;20;;;17;19;18
;22;;;19;20;19
;;;;25;;33
;23;;;17;19;18
;21;;;18;18;18
;19;;;17;22;43
;;;;23;;18
;;;;24;19;22
25;26;;;25;22;22
;20;;;20;20;20
;24;;;18;23;23
;22;;;20;20;20
;;;;18;19;19
23;24;53;;18;23;23
;25;;35;25;19;22
;23;;;23;18;18
;17;;29;17;18;19
;21;;;24;23;23
;20;;;20;;11
;23;;;24;23;21
;22;;;22;;19
;22;;24;19;18;17
;29;;;19;;20
;21;;;15;18;18
;24;;;17;29;21
;30;;31;64;18;18
;22;;;22;;12
;23;;;18;26;17
;23;;;31;17;17
;20;;;56;;12
;18;;;18;23;19
;26;;;51;;11
;23;;;18;48;22
;23;;;13;22;23
23;23;65;;18;19;19
17;18;31;31;18;18;17
;20;;;19;19;19
17;17;;;29;18;20
;28;;;16;17;17
;18;;;15;18;18
;21;;;17;21;18
;18;;41;18;19;18
;20;;;19;20;20
25;26;32;32;23;22;22
;28;;;36;22;22
;24;;;17;;17
;23;;;19;;19
;23;;;17;23;23
;27;;38;20;28;20
;26;;;21;;17
;21;;;21;18;18
;;26;;17;22;22
;19;;25;19;22;20
17;18;;;30;19;18
17;17;19;19;17;17;18
;32;;44;;28;17
;29;;;18;24;24
;22;;38;16;17;16
;18;;19;19;47;17
;;20;;17;20;20
;;;;;16;17
27;29;;;17;22;23
;;;;18;24;18
19;20;;;18;18;24
;;61;;19;28;19
;19;;;19;27;17
;;;;20;22;22
25;26;;;;19;17
;22;;;22;42;17
23;23;32;32;23;19;20
;;23;;18;18;20
24;24;;;24;19;15
;27;;;22;22;22
25;26;27;27;17;21;21
;22;;;19;21;21
;19;;;19;18;18
;25;;;37;15;15
;20;;28;18;31;20
;26;;;17;37;18
;;26;;17;20;20
;22;;;25;22;22
;;;;17;19;19
22;26;;;20;24;20
24;31;;;24;16;20
;21;;;18;20;20
;21;;29;18;21;21
;21;;;17;18;18
;35;;;18;24;19
22;22;27;27;22;18;16
;;23;;18;17;19
;;;;27;27;18
;30;;;38;;17
;;;;47;26;24
;21;;;17;26;22
;19;;27;20;19;19
;21;;27;18;33;16
;21;;;35;23;16
;26;;;18;29;18
25;26;;;28;18;17
21;21;40;;17;;17
30;43;32;51;27;24;18
;22;;;35;21;17
;26;;;18;23;23
;;;;17;19;19
;29;;;26;26;20
;20;;;17;19;19
;19;;;27;20;22
;24;;;14;24;37
19;23;20;;18;19;18
;;36;;17;18;18
;;;;16;19;17
;;35;;24;20;19
;;;;25;16;17
;23;;;23;18;15
;19;;20;20;29;27
;;;;33;29;22
;20;;;21;21;22
;19;;20;19;17;24
19;23;;;36;18;20
;26;;;19;23;23
29;30;;;29;19;19
;23;;;19;21;18
;23;;;13;23;58
;21;;;17;18;18
;23;;;15;21;22
;21;;;21;;67
;24;;;24;20;23
;19;;;19;19;30
;21;;26;25;21;17
;22;;42;17;21;21
;25;;34;17;21;21
;27;;37;20;25;19
;22;;;7;22;52
;21;;;17;19;19
21;22;37;;24;24;18
;21;;;23;23;23
;19;;;17;21;22
;25;;;21;16;17
;18;;;18;20;17
15;23;27;27;18;18;18
;25;;;19;19;19
;20;;31;18;20;26
37;38;;;19;23;17
;24;;;15;37;18
;21;;;18;18;17
;24;;;51;21;18
;19;;;19;;17
;19;;;19;;18
;24;;;17;28;20
;23;;;17;22;22
;18;;;18;20;21
;;25;;2;;20
;23;;;17;19;18
;20;;;20;19;19
;18;;;18;;18
;19;;;21;19;20
;19;;20;27;19;19
;23;;;18;20;20
;20;;;21;;17
;24;;;24;19;19
;19;;42;19;26;19
;18;;22;15;;17
;;37;;17;19;19
;19;;;17;23;25
;21;;;21;18;21
;16;;;16;30;16
;22;;;22;22;21
;33;;44;18;23;23
;22;;;22;19;19
;22;;30;22;22;22
;25;;25;21;21;19
;23;;;19;19;21
;21;;;18;18;18
21;26;45;;25;19;19
;24;;;18;24;24
;21;;;17;20;20
22;23;59;;23;19;19
;27;;;25;21;20
;22;;;17;22;22
;23;;46;23;19;19
;18;;;18;;16
;24;;;19;17;21
;21;;;21;25;25
;24;;;22;22;19
;28;;;58;48;32
;28;;;20;28;28
;22;;;22;18;18
;21;;;17;22;23
;19;;;17;19;19
;24;;49;17;21;21
20;21;;;20;21;18
21;21;;;19;20;20
;26;;;26;18;17
19;19;38;;15;19;19
;;;;25;38;20
27;29;;;18;19;66
;25;;30;25;;16
;23;;;17;20;20
22;23;;;21;25;18
;20;;;25;23;20
19;20;21;21;43;;14
21;22;70;;22;17;16
;19;;;19;37;17
;17;;28;17;22;23
20;21;27;;20;23;20
;19;;34;20;18;18
;17;;;17;;16
;21;;;17;22;22
;20;;27;21;19;19
19;20;;;16;20;20
17;17;;;17;;17
;19;;;19;17;19
16;17;20;20;19;22;22
;17;;;17;;17
;19;;;19;20;21
;24;;;36;;17
20;24;47;47;20;19;17
;26;;;17;20;23
;24;;;15;27;23
;22;;;18;21;21
;;47;;21;34;21
;;;;13;;17
;25;;;18;17;18
;21;;;18;20;20
;20;;;17;23;27
;23;;;24;23;23
;;;;;18;21
;19;;;18;19;19
;23;;;17;17;22
;21;;;18;21;20
23;23;26;26;21;21;24
;21;;21;28;;15
18;19;;;22;20;23
;21;;33;18;20;20
;26;;;26;;17
;22;;;22;31;36
;18;;;15;19;19
21;22;;;20;;20
;21;;;21;21;21
21;21;30;26;22;21;18
;23;;;23;22;16
;;;;31;21;21
;22;;;17;22;19
;;;;27;21;21
;20;;;17;17;20
;20;;;17;19;20
;22;;;18;17;14
;21;;22;20;18;20
;23;;;23;19;20
;21;;;21;37;19
;24;;30;15;21;18
;19;;;19;19;19
25;25;;;25;;19
;21;;;21;;16
15;15;17;;16;16;19
;;;;17;18;20
;24;;;24;30;21
;18;;;15;17;23
;;;;18;23;23
;27;;;18;20;19
;20;;;20;16;17
;18;;;17;25;17
20;21;24;24;18;21;21
;49;;;17;19;19
21;22;;;17;26;18
;21;;;20;19;19
;;;;17;19;21
23;23;;;18;20;18
;20;;;20;22;17
;20;;;22;23;23
17;17;;;24;18;18
;20;;;20;;45
;;;;27;19;19
20;21;32;32;21;;19
;;;;17;23;20
22;22;36;36;22;18;17
21;21;;;19;23;19
;20;;;17;22;24
20;20;;;20;17;18
;22;;;12;20;19
;;;;20;;17
;24;;25;6;;17
;20;;;20;19;20
;;;;18;19;19
;26;;;26;20;18
;20;;;20;18;17
;24;;;24;20;20
;23;;;23;21;17
;19;;;19;;21
;20;;34;20;;18
;22;;;22;;20
;25;;;45;19;21
;25;;;27;20;29
;;;;26;20;21
;30;;;19;19;21
;33;;;33;21;22
;19;;;19;22;26
;19;;;;20;22
;20;;23;17;23;25
;23;;;17;20;19
;;;;32;;10
;18;;;18;22;23
;24;;29;20;20;20
;45;;;17;20;32
;20;;26;20;20;23
;23;;;28;20;21
;31;;;31;23;24
17;24;;;17;20;21
;22;;;22;20;
;23;;;23;23;
;21;;;;19;21
;24;;;24;;12
;27;;;27;;16
;27;;;28;20;19
;31;;;30;20;19
;22;;;18;16;17
;26;;;26;22;21
;;;;;23;18
;23;;;38;18;21
;22;;;14;18;27
;24;;;14;;12
;24;;;24;18;21
;24;;;24;;18
;21;;;21;20;15
;21;;;;18;18
;24;;;24;22;22
;30;;;17;18;20
;28;;;25;25;22
;20;;;20;;55
;25;;;34;;21
;27;;;34;;22
;26;;;26;22;26
;22;;;17;18;
;28;;;28;18;20
;;;;;20;22
;18;;;25;;17
;24;;;24;;17
;23;;;;22;22
15;18;;;15;;18
;26;;;34;18;20
;;;;;22;25
;20;;;20;20;21
20;40;;;17;20;17
;21;;;17;21;24
;18;;;18;;
;20;;29;20;20;20
;24;;32;24;20;20
;25;;30;16;19;37
;;;;18;23;26
;26;;;;22;22
;30;;;18;23;19
17;18;;;17;;
;;;;18;24;24
;28;;;17;22;23
;;;;37;20;27
;;;;17;22;22
;25;;;26;22;23
;22;;;22;23;37
;;;;18;23;22
;21;;;21;23;22
;20;;32;20;22;22
;24;;26;26;21;30
;;;;;22;23
;23;;;17;20;20
;21;;;21;18;18
;23;;28;39;22;24
;20;;;20;;
;;;;17;22;17
;25;;;17;20;30
;;;;;;27
;;;;;;
;23;;;23;22;22
;23;;;;26;24
;;;;11;;24
;;;;19;;27
;18;;;18;19;21
;;;;;20;20
;20;;;20;;
;24;;;17;;26
;;;;;;
;26;;;26;23;31
;29;;;29;;24
;;;;27;24;24
;30;;;30;;20
;28;;;;15;29
;26;;;17;;19
;20;;;30;;
;21;;;21;;20
;20;;;20;19;
;20;;;20;;46
;;;;22;;38
;20;;;20;18;33
;;;;18;23;23
;24;;;17;24;24
;;;;;22;23
;28;;;28;;29
;27;;;;22;37
;;;;19;23;23
;24;;;24;;58
;27;;;27;22;22
;27;;;17;;19
;27;;;18;;25
;18;;;18;;
;20;;;20;;20
;17;;;17;;
;18;;;18;21;22
;;;;30;;
;19;;;19;20;
;26;;;;40;26
;31;;;31;;26
;25;;;;23;17
;18;;;52;21;59
;;;;;;
;26;;;18;18;20
;;;;;24;24
;24;;;28;23;33
;24;;;24;;24
;23;;;29;24;26
;;;;;22;21
;17;;;17;20;
;;;;;;9
;24;;;24;;23
;;;;42;;35
;;;;19;;19
;25;;;38;;42
;26;;;26;;
;19;;;19;20;27
;29;;;18;22;23
;26;;;26;;
;29;;;24;23;25
;21;;;21;21;26
;42;;;43;23;24
;25;;;25;;20
;;;;;25;26
29;29;;;18;;20
;29;;;31;;22
19;19;;;19;22;27
;;;;21;23;23
;20;;;20;;27
;32;;;32;;38
;30;;;13;;41
;21;;;21;20;21
;26;;;27;31;13
;23;;;23;;16
