partner;marriage;farewell;divorce;separation;education;work
;19;;;19;20;
;22;;;26;19;19
;22;;;17;;21
;27;;;18;26;22
;21;;;27;17;22
;;;;5;7;23
;23;;;23;;19
;26;;;;19;13
;27;;;18;;38
;;;;18;;24
;21;;;17;17;21
;25;;;25;19;24
;28;;;28;;28
;;;;23;20;20
;27;;;;;30
;;;;;;
;22;;;;;23
;22;;54;22;20;
;18;;;18;;
;;;;22;;42
;18;;;18;;15
;26;;;26;23;26
;;;;;;
;25;;;29;21;22
;;;;;5;5
;;;;20;;
;18;;;18;;21
;20;;;20;;
;;;;;;
;26;;;18;26;21
;23;;;23;21;23
;20;;;20;;18
;20;;;19;;37
;27;;;27;;34
;26;;;10;;47
;20;;;33;23;23
;20;;;20;18;25
;20;;;28;21;27
;27;;;;20;35
;20;;;20;;27
;22;;;17;22;22
;21;;;21;;27
;17;;;;;
;;;;19;;47
;24;;;24;29;22
;20;;;23;23;23
;;;;20;;22
;;;;24;;23
;17;;;17;18;
;24;;;30;20;21
;34;;;34;;31
;20;;31;18;23;14
;22;;;22;20;
;;;;4;;16
;25;;;25;;24
;24;;;32;19;
;21;;;21;19;41
;15;;;19;;
;29;;;18;19;29
;22;;;22;20;
;26;;;25;19;19
;26;;;31;;19
;17;;;9;17;
;17;;;17;21;
;21;;;21;18;
;;;;25;24;13
18;19;23;31;27;31;19
18;19;;;15;18;18
20;21;37;;20;20;18
;19;;28;17;21;21
;;30;;22;20;21
;23;;51;27;;14
21;21;22;36;21;21;21
;;;;;19;25
;21;;;14;20;20
26;31;;;29;20;19
;18;;;18;24;17
19;19;22;22;22;18;19
;23;;;23;;18
;20;;30;17;23;23
;28;;32;53;23;16
22;26;;;27;18;22
22;22;36;36;22;22;16
;20;;;20;29;17
;;28;;17;22;22
;24;;34;43;18;17
;27;;;25;24;24
;21;;;21;17;25
;21;;;19;21;21
21;21;58;;22;34;17
;22;;;19;19;21
;20;;;20;18;19
;;;;24;19;19
;;;;18;25;25
;;;;18;15;23
;20;;;17;17;18
;21;;37;18;20;18
;18;;;18;19;19
;20;;;28;18;18
;20;;;20;20;17
;21;;;21;16;17
23;23;43;;21;;16
;27;;;27;43;16
;20;;;20;21;21
19;20;78;;19;38;12
;19;;;19;19;19
;18;;;18;19;21
;;20;;18;18;20
19;19;43;43;18;18;18
;23;;;21;;17
37;39;;;21;21;21
;22;;;20;30;27
17;18;;;19;;20
24;25;;;14;29;20
;21;;;20;21;19
;21;;;15;19;19
;;22;;36;22;22
;24;;40;24;29;20
17;19;23;24;17;20;17
;25;;44;20;26;17
;21;;35;22;19;17
;;;;21;21;21
;23;;;33;19;20
;;;;18;19;20
;27;;;46;18;18
;23;;;18;23;23
;;68;;41;22;23
;28;;;28;18;18
;;;;22;28;18
20;20;;;17;21;20
;19;;32;20;19;19
17;17;33;33;15;17;17
23;24;;;17;18;19
;22;;;13;20;16
;25;;;36;19;16
;25;;;22;25;22
24;29;;;18;25;17
;;;;21;29;21
;25;;;18;21;17
;;;;17;22;22
;23;;;22;;18
18;19;40;;22;;17
20;21;47;;20;18;18
22;33;29;;19;19;19
21;21;32;33;19;;19
;20;;;17;21;23
24;24;32;;22;22;28
;20;;25;15;18;19
22;22;;;18;23;41
;23;;;15;16;19
20;20;53;;16;18;18
;18;;41;17;35;34
;19;;;19;25;17
;;;;30;22;22
;19;;30;16;17;16
;22;;;19;19;22
;18;;;18;;18
;36;;;17;;33
;24;;;23;21;24
;20;;;26;17;15
;;29;;15;18;20
23;24;;;23;18;23
18;20;;;18;;16
24;25;;;17;23;23
;22;;;17;18;17
;19;;;19;;18
;22;;;22;19;19
;23;;;23;18;18
;20;;;20;19;18
22;23;;;18;17;17
;19;;;15;19;22
23;24;;;17;19;22
;20;;;25;21;20
;18;;;16;18;18
;22;;;22;18;21
;19;;22;19;;19
;26;;;26;24;18
;20;;;20;37;37
;17;;19;15;19;19
;23;;37;18;30;17
;21;;38;;19;18
19;19;;;15;18;18
;18;;26;22;22;18
;23;;;23;;17
30;31;;;41;25;25
22;26;35;35;14;25;18
27;28;59;;32;24;19
;24;;;15;26;17
19;21;24;25;15;17;17
21;22;;;17;23;24
;24;;35;24;20;20
;20;;;21;23;17
;18;;;18;;22
;;;;22;20;19
;;;;20;23;26
;;;;21;21;18
35;37;58;;33;;16
;24;;;22;;17
;21;;;21;;17
23;23;;;26;26;19
25;26;;;17;27;24
18;22;56;;19;;16
;23;;;19;23;23
;33;;;33;23;23
;;;;;21;21
;22;;;58;19;19
21;22;28;;34;;18
21;23;;;16;21;21
23;25;;;28;18;24
23;24;;;16;21;21
23;24;;;18;21;21
;16;;;16;22;16
23;25;;;15;;17
21;22;;;18;18;21
;;;;28;19;19
37;38;;;18;31;18
24;24;;;18;21;14
;22;;;30;;20
;23;;28;18;23;23
22;22;22;22;14;20;19
26;26;26;26;23;25;27
19;20;;;18;32;17
;19;;;14;17;18
;;36;;18;18;19
22;22;34;34;17;25;25
;20;;;15;19;19
;22;;25;16;20;22
28;30;39;44;23;16;21
;;42;;20;34;20
;19;;;19;19;21
19;22;22;40;22;19;17
;22;;;22;30;21
;;;;20;22;26
;19;;;19;18;18
34;34;48;;16;23;23
;18;;29;15;17;21
;22;;;20;20;21
18;19;;;18;25;18
;20;;38;19;20;17
;25;;;18;26;18
;21;;;17;36;17
;19;;;19;39;18
;22;;;22;22;23
22;23;24;26;18;20;20
29;29;;;19;;17
24;25;26;26;18;18;20
;21;;;15;20;16
;23;;;16;;17
;20;;38;16;20;17
;20;;;17;32;32
16;17;29;38;24;17;28
;;;;15;17;17
;26;;;34;17;16
;22;;;20;22;22
22;23;24;24;23;30;17
;24;;;27;;14
;21;;;22;18;21
;18;;;18;17;24
;23;;;24;24;24
;27;;;22;21;18
;23;;;23;21;21
23;23;;;19;24;18
;18;;;18;18;21
26;26;;;20;18;19
;;;;;20;21
;17;;;17;24;17
;19;;;18;17;16
;22;;31;20;20;20
;24;;;22;28;18
;18;;28;18;19;19
;;;;21;;
;24;;;33;20;20
22;22;;;19;19;20
;22;;;18;23;23
23;23;31;31;15;19;20
;18;;;13;18;18
;19;;;19;;15
28;29;31;31;17;20;20
;19;;;19;;15
;21;;;18;19;19
18;19;48;50;24;;15
;20;;48;33;19;18
;21;;;19;17;17
;48;;;18;18;18
;29;;;29;20;16
;;;;;19;20
20;24;36;33;18;36;21
18;18;23;23;30;17;17
;24;;27;17;37;17
;;;;21;18;20
;20;;;20;17;18
;22;;33;17;36;18
;;19;;17;17;18
;;;;17;22;22
;27;;;18;26;26
;;23;;20;20;24
17;18;;;17;;26
;22;;;22;24;17
20;21;;;20;37;17
26;28;53;;26;;15
20;24;24;;17;22;23
22;23;31;;27;18;22
;18;;54;21;29;16
;22;;;17;22;22
;;64;;34;26;26
;21;;;31;19;19
;22;;;20;20;20
;21;;27;20;18;18
;18;;;28;18;20
;27;;;27;30;19
;20;;;20;22;22
;23;;;18;20;22
;;;;;22;22
;20;;;18;26;19
;23;;;23;17;18
;20;;;;29;17
28;28;39;39;19;23;14
;24;;;18;22;21
;21;;;18;21;21
;25;;;33;19;19
;17;;;17;14;14
;23;;36;23;20;17
;22;;;29;19;18
;18;;;3;23;19
22;22;;;17;23;16
;25;;39;18;23;21
;19;;22;45;17;18
;;;;23;24;23
;18;;;18;;26
;24;;;26;;10
22;23;;;23;18;20
;23;;;16;38;24
27;27;;;19;19;19
;28;;;36;16;13
24;24;;;18;19;18
28;28;30;34;19;19;19
;23;;;17;22;22
;19;;;19;26;19
;18;;;18;17;17
19;22;19;;19;17;19
;20;;;20;20;20
23;25;;;25;17;17
;21;;;19;27;18
;20;;30;24;19;19
;23;;;24;20;14
;36;;;36;24;19
;21;;;21;19;19
;21;;;23;17;13
;22;;;22;21;21
;27;;;27;20;18
23;24;;;37;20;18
;25;;;20;18;19
;19;;27;19;18;18
27;27;;;16;17;17
;21;;;22;19;19
;20;;;20;20;20
;21;;22;21;;19
23;25;;;29;16;16
;20;;49;19;18;19
;21;;;23;24;17
;;;;;20;21
22;22;23;23;18;15;16
;18;;;18;27;18
;17;;20;17;17;16
;;37;;23;;11
;22;;;22;20;23
;24;;26;17;21;18
;19;;24;19;25;25
;;25;;37;17;17
;;;;16;19;19
22;22;23;23;18;18;17
15;18;;;16;;17
;20;;;21;22;20
;22;;;19;21;21
;22;;;18;19;17
;22;;;22;27;19
21;21;43;;21;21;21
;25;;;25;40;17
26;29;27;29;18;24;26
22;23;23;30;15;18;18
;22;;;28;18;17
;25;;;20;17;21
22;24;27;;20;27;17
;23;;;24;19;19
;;;;18;17;17
;20;;22;18;20;18
;;24;;17;21;31
;20;;21;20;21;20
18;25;;;26;;
;21;;25;19;20;17
;25;;;19;24;24
;;;;33;19;21
;;;;19;23;17
19;27;;;19;17;17
;;;;26;19;19
32;32;;;17;20;19
;18;;22;20;16;16
;22;;;17;19;19
;22;;;23;19;19
;21;;;18;19;20
;21;;;21;17;17
;17;;19;18;16;16
17;19;;;17;17;19
;22;;32;22;19;19
;24;;40;20;23;23
18;26;19;;20;19;20
;21;;23;19;21;19
;27;;;16;23;17
;22;;;22;17;18
21;22;;;21;17;17
;20;;;18;19;20
20;21;29;;20;;22
;21;;51;26;;18
;;24;;17;34;21
;22;;51;15;21;22
;25;;27;25;17;17
25;26;;;16;16;17
18;18;24;24;3;16;16
;25;;;18;24;17
;22;;;15;18;18
;21;;;20;32;20
;31;;;18;19;20
;24;;;19;24;20
;26;;;26;18;19
;18;;23;17;23;21
;21;;37;17;19;21
;18;;;18;17;20
;20;;;16;19;19
;22;;;22;;18
;21;;25;17;30;18
22;23;;;22;23;23
;21;;;22;18;18
21;21;22;28;41;15;18
21;22;52;;53;;17
22;22;;;64;21;21
;22;;;22;24;18
;18;;23;15;19;17
;17;;21;18;26;17
;23;;;18;30;22
;;;;23;;17
;;;;18;23;21
;23;;;26;19;20
;21;;;17;18;20
;21;;;19;22;18
;20;;;15;18;18
;20;;;33;19;18
;;;;17;17;14
22;22;41;41;18;19;19
;;;;37;16;18
;20;;;19;21;24
;;;;;18;18
;30;;32;17;24;24
;21;;;16;19;18
18;18;76;;15;15;27
;22;;25;25;18;15
;22;;;18;17;16
;14;;29;17;22;22
18;18;;;17;;18
23;24;59;;4;17;17
;24;;;14;26;19
24;26;25;;34;20;20
;20;;;17;19;19
;20;;;19;23;23
;22;;;23;17;18
;22;;;17;22;22
23;24;38;38;20;18;17
;20;;;17;20;20
;22;;;22;19;18
;21;;;23;18;17
;19;;;19;27;26
;23;;;23;;18
23;41;76;;23;23;23
;;;;39;;16
;28;;;17;25;20
;22;;;22;18;20
18;18;20;21;1;;17
;26;;;29;18;23
16;18;;;16;;15
;20;;;17;19;19
;19;;;16;20;18
;;;;21;;21
;18;;;18;;21
;18;;;15;19;19
;20;;;22;;16
;21;;;21;;18
;33;;;29;;11
;19;;;21;20;19
;21;;;25;19;17
;21;;;18;22;20
;;55;;20;18;20
;21;;;18;27;19
;19;;;19;18;18
20;20;21;24;20;;19
;18;;;20;19;21
;18;;;28;19;16
;19;;;19;;18
;22;;32;41;19;18
;23;;;16;20;20
;18;;;25;17;18
;21;;;26;19;
18;19;51;;18;;19
22;23;54;;22;;19
36;36;37;38;36;;
;16;;;16;;17
;34;;;36;23;23
;26;;33;17;22;22
;19;;;19;45;19
18;19;47;47;0;16;15
;21;;31;18;21;21
21;21;;;21;22;24
18;18;;;18;19;18
22;23;31;36;19;39;16
;21;;23;18;17;17
;24;;;17;22;19
20;20;;;18;18;16
30;34;;;29;20;19
17;19;;;14;16;16
21;24;35;35;18;35;18
;21;;21;16;18;18
18;19;59;;18;;16
15;18;37;;18;;17
16;17;;;15;;15
;26;;;48;28;17
21;21;23;;21;30;18
16;17;20;;25;24;24
18;24;;;15;17;18
;24;;;37;;17
;25;;;16;18;20
;29;;;20;;11
;;;;51;;31
21;22;63;;21;;16
;;26;;18;19;18
40;40;41;;21;19;19
;18;;;18;15;15
;22;;;22;37;19
18;19;;;18;19;19
;28;;;28;20;21
19;25;24;;27;17;17
18;18;29;29;19;17;17
21;21;;;21;24;20
;21;;;21;42;17
;18;;;19;;14
19;24;;;3;18;18
30;32;;;17;19;19
;18;;;22;21;
;19;;30;19;;17
16;16;;;16;;17
;18;;;24;19;19
;20;;;20;21;27
;19;;;18;;17
;19;;;42;18;19
;;32;;20;25;25
;23;;;23;19;20
;21;;;16;20;20
;;43;;17;19;19
27;27;;;26;25;22
;22;;;18;19;19
;24;;;17;22;22
;;;;17;26;21
;20;;43;17;42;24
;24;;;15;19;21
;20;;28;19;21;21
19;20;40;;18;23;19
;21;;;19;17;20
;25;;;25;21;18
17;17;;;17;19;16
26;26;;;20;18;18
23;26;;;23;26;16
;19;;35;19;24;18
;22;;;38;20;20
;19;;;24;;25
21;21;26;26;21;20;17
;20;;;20;24;24
;19;;;19;20;20
;31;;;24;;18
;21;;;30;19;20
;27;;;24;21;26
;20;;;18;;28
22;22;36;;23;15;15
;24;;;24;24;37
20;25;;;25;20;17
;25;;;25;29;29
23;24;;;24;18;21
;;;;24;;18
;22;;;22;18;19
;;;;21;18;18
18;19;;;15;30;18
19;20;38;32;32;;17
;25;;;22;29;23
;22;;;17;22;23
19;19;54;;19;24;29
;26;;;18;25;18
;;;;27;21;22
;20;;;18;20;20
;21;;22;26;21;21
18;20;;;18;18;19
;19;;;19;21;26
13;49;;;13;19;20
;20;;;20;23;17
;22;;;24;27;20
;18;;;13;21;18
;20;;29;20;36;26
;20;;;20;19;19
25;27;35;35;19;20;20
;19;;26;19;20;22
;22;;;18;24;24
20;21;;;18;28;20
;21;;22;27;47;21
;24;;;21;21;17
;20;;;18;17;18
;19;;35;18;20;18
16;17;45;46;15;;28
22;28;;;22;18;18
;28;;;28;19;19
27;28;;;4;20;17
;27;;;17;19;16
;22;;;30;24;17
;26;;;29;;18
;21;;;21;17;25
19;20;;;23;18;20
;21;;;18;17;20
;22;;23;27;20;20
;24;;;25;18;18
;38;;;38;23;23
;20;;;15;17;17
;21;;;17;19;18
;30;;;21;21;19
;18;;;17;30;32
;24;;;24;19;18
;30;;;30;19;21
;24;;;24;17;17
25;37;;;17;22;24
;21;;;17;23;24
;;;;17;29;19
;20;;;60;17;18
;21;;;21;21;24
19;20;;;20;25;18
23;24;;;19;19;21
;24;;;24;20;20
26;26;67;;26;;34
;19;;;25;36;37
;;;;18;17;27
25;25;;;25;23;23
23;24;61;;20;;13
17;19;24;;17;27;16
23;36;24;;21;;13
18;18;42;42;18;20;16
;21;;;27;20;21
21;28;;;18;17;17
;;;;17;16;
;18;;;18;18;18
;21;;;15;19;19
24;24;53;;24;19;17
;22;;;22;20;20
;19;;;18;20;20
;19;;30;17;20;17
25;25;25;27;17;20;19
;20;;22;18;23;23
;22;;;22;21;26
;;43;;19;16;17
;22;;;18;28;20
;;;;20;25;25
;18;;;17;17;17
;19;;;21;21;17
;;30;;16;19;17
;32;;41;32;17;18
;24;;31;24;17;18
;23;;25;15;18;18
;21;;;21;;20
;17;;21;20;18;18
23;24;;;21;15;14
;26;;;18;21;22
;22;;;22;19;18
15;29;;;16;;28
;18;;21;18;25;19
;21;;;24;;17
;;21;;20;18;17
;20;;23;18;38;19
;19;;20;18;30;19
;21;;;17;31;18
;24;;;48;16;16
;17;;;17;;21
;20;;;26;19;20
;23;;;23;21;17
18;24;24;25;16;;16
;21;;;21;20;20
;18;;;25;20;20
;;;;17;20;21
;21;;24;20;20;20
;30;;;24;32;20
;20;;;20;23;18
16;16;19;19;16;23;21
;27;;;27;21;23
20;24;;;20;;16
;18;;27;22;21;17
;23;;;16;16;19
;21;;;17;18;18
;26;;49;17;19;19
;19;;;18;20;18
;19;;;19;50;18
;26;;;22;22;22
19;19;23;32;19;16;19
;21;;;22;22;17
;;;;;21;21
19;20;;;19;17;17
;20;;;12;30;18
;24;;;17;18;22
;21;;;21;19;19
;24;;;24;;17
;23;;;23;17;17
18;19;31;31;15;19;19
;;;;19;23;23
;22;;;24;18;18
;19;;;19;17;17
;32;;;21;32;33
27;27;46;46;18;17;17
;;;;;22;18
;23;;37;;25;19
;24;;43;22;27;17
;26;;;27;22;22
;26;;40;25;28;17
;17;;20;14;17;17
;;;;;26;26
;;;;26;22;25
;21;;;20;38;17
;22;;31;18;24;24
;22;;;17;22;22
;22;;;19;53;18
;23;;56;23;23;23
;18;;;15;39;18
;;30;;27;;17
;24;;;20;25;20
;;;;24;31;21
;22;;30;26;24;24
;;;;;21;17
;19;;31;17;;16
;18;;;18;;18
22;24;52;;18;23;23
22;21;;;19;20;20
;23;;;20;;20
;25;;;33;;16
;;;;18;;16
;27;;;27;23;22
;20;;33;;;10
;19;;33;10;17;17
;27;;;25;25;25
;25;;;25;23;21
24;27;27;30;24;20;19
;22;;;22;23;22
18;18;;;18;;19
;21;;;21;18;18
;23;;;21;26;29
;19;;31;19;20;18
;22;;;24;;19
;21;;;26;18;18
;;;;28;20;16
;;;;17;23;23
;;;;;23;23
;28;;;28;25;18
;26;;;17;22;22
;26;;;13;26;26
;22;;;21;20;20
;18;;23;18;;17
;19;;;44;18;28
23;28;;;23;19;21
;32;;;28;;18
;22;;;22;26;19
;;;;20;26;18
;23;;;23;26;22
;22;;;22;40;18
;;38;;21;16;16
;31;;;47;19;20
;21;;;19;21;24
;21;;;22;;14
;22;;28;56;22;19
;22;;37;24;28;20
;19;;;;19;22
;24;;;18;;15
;30;;;16;18;18
;26;;27;23;23;23
;;;;22;15;17
;25;;28;19;26;26
;20;;;20;;16
;20;;;20;33;20
;20;;;29;23;24
;25;;;25;19;19
;18;;;12;22;36
;;44;;18;16;18
;20;;;20;23;23
23;24;;;12;21;19
;23;;49;19;23;23
21;22;26;26;26;18;23
;23;;;24;29;17
;25;;;20;20;23
;19;;;17;22;25
;;;;53;21;19
;23;;41;23;24;18
;18;;;15;18;20
;;26;;22;22;22
;26;;33;26;;18
23;29;39;;25;29;18
;28;;;28;24;16
;25;;27;26;20;22
;26;;;16;20;20
;25;;;25;;18
;27;;;27;27;30
;20;;;16;18;17
;21;;;21;16;18
26;27;;;33;24;24
;21;;;25;18;18
25;26;;;26;26;26
;;;;;19;20
;21;;26;15;18;18
;21;;;27;24;24
;;;;16;19;19
;26;;;20;19;12
20;20;;;17;22;22
;21;;;21;21;21
;27;;;23;18;18
;23;;;23;11;18
;18;;;18;20;30
;18;;;18;17;17
;20;;;20;17;19
;18;;34;18;18;20
;19;;;16;20;20
;22;;;19;37;22
;24;;;24;21;21
;17;;;17;18;17
;21;;;20;18;18
;18;;;18;19;
;25;;;27;49;15
;18;;;18;;15
;22;;;44;18;18
;21;;27;19;21;21
17;18;;;18;18;18
;22;;;31;24;17
;;;;19;25;25
;22;;;23;22;22
;22;;;20;20;22
;22;;;15;19;18
;20;;;15;19;19
;20;;23;20;20;17
;23;;;23;;11
;19;;;20;;25
;18;;;14;17;18
;21;;;21;19;29
;18;;;17;22;24
;23;;;16;18;18
;18;;;18;15;15
;22;;35;17;20;21
;30;;;22;;18
;25;;;25;20;20
18;19;;;21;17;17
;23;;;17;21;21
;25;;30;15;31;22
;20;;;17;20;20
;18;;20;18;20;22
;28;;;25;25;22
;23;;28;18;22;17
;21;;;21;18;19
;19;;27;22;19;22
;20;;35;48;21;21
;20;;;18;;10
20;20;;;20;19;19
;21;;;26;23;20
;21;;22;21;18;14
;27;;;17;25;20
;21;;;18;19;19
;;;;21;21;21
;26;;31;22;20;17
;21;;28;23;18;18
;23;;;17;19;19
;23;;;19;21;20
;19;;;16;20;18
20;21;;;34;20;14
;19;;;17;;17
;23;;;20;;20
;19;;;19;23;19
;18;;40;16;16;17
;20;;;19;18;18
;25;;30;17;21;21
;;;;20;;18
;18;;;18;;13
;21;;;20;24;16
;20;;;28;18;20
;17;;;16;18;19
;26;;;23;26;18
;22;;;19;19;21
;21;;;15;17;16
;20;;;17;23;19
;25;;;18;20;15
;19;;;15;18;18
;;;;24;22;22
;22;;;19;32;19
;19;;;14;20;20
;21;;33;21;20;20
;20;;25;20;21;19
;;;;60;22;22
;19;;;17;19;19
;19;;28;15;20;17
;24;;;18;22;19
;18;;;19;21;20
;23;;47;22;;18
;20;;23;16;18;16
;22;;;23;18;18
19;20;;;15;26;18
;19;;;20;20;23
;;;;;19;
;21;;;18;18;18
;24;;;16;20;20
;;29;;24;20;21
;21;;;20;18;18
;20;;23;33;25;19
;21;;;21;17;23
;26;;;26;23;23
;22;;;18;18;19
;20;;;24;19;18
;20;;;23;19;19
;22;;24;18;16;20
;23;;;23;20;20
;22;;;23;19;19
;17;;19;10;17;18
;24;;;24;23;24
;31;;;19;18;18
;24;;;24;22;17
;18;;;16;17;16
;25;;36;15;19;19
;28;;;24;24;24
;21;;23;21;20;17
;21;;25;21;19;19
;20;;;20;15;14
;22;;34;18;18;21
;18;;59;18;;18
;26;;;29;17;13
;24;;;18;19;23
;19;;;19;;17
;;;;33;20;18
;16;;;17;;16
;19;;;19;;19
;23;;;24;17;17
20;21;;;16;32;17
;;;;18;20;19
;22;;;19;;18
;24;;;23;23;23
18;18;48;;17;18;21
;24;;;26;16;12
;19;;;19;;14
;34;;;19;;16
;20;;;17;22;23
;19;;;15;15;16
;19;;;15;33;19
;22;;;22;;22
;16;;;18;17;18
;20;;;20;;15
;25;;;29;;12
22;24;63;;27;48;16
;19;;;15;19;19
;23;;;23;20;19
;20;;25;17;20;22
;18;;;18;;16
;21;;;25;;13
;20;;25;30;19;21
;20;;;20;19;20
;19;;;17;19;21
;17;;;23;18;20
;26;;;16;;17
;20;;;18;;12
;22;;;22;19;20
;20;;;20;;16
;27;;;27;;15
;20;;;41;;14
;19;;;19;;18
;;;;23;18;20
;25;;;25;15;24
;;;;22;17;21
24;24;;;41;15;19
;21;;;20;16;16
18;19;;;19;;18
;22;;;22;;13
24;25;;;24;18;18
;22;;;22;;15
;18;;;15;25;18
;24;;;24;26;19
18;19;;;17;21;19
;19;;23;19;20;19
;25;;;21;26;24
;;30;;18;20;21
;22;;;24;;17
;18;;;18;20;20
;19;;;19;18;15
;;;;17;22;20
20;31;;;19;24;25
;;;;17;25;26
;20;;;20;32;28
;;;;11;20;21
;20;;;17;19;20
15;21;16;29;22;18;20
23;29;25;;23;20;21
20;20;;;16;19;20
;19;;;15;31;15
